accession	taxid	description	kingdom	phylum	class	domain	contig
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000066l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000067l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000068l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000070l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000071l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000072l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000073l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000074l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000075l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000076l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000078l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000079l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000080l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000081l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000082l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000083l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000084l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000085l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000086l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000087l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000088l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000089l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000090l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000091l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000092l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000093l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000094l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000095l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000097l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000099l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000101l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000102l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000103l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000104l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000105l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000107l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000108l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000111l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000112l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000113l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000114l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000118l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000121l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000123l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000124l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000126l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000132l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000135l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000136l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000139l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000143l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000144l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000147l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000150l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000152l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000156l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000160l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000166l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000172l
EU123945.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 1 (nad1) and ATP synthase F1 subunit alpha (atp1) genes, complete cds; tRNA-Trp (trnW(cca)) and tRNA-Leu (trnL(uaa)) genes, complete sequence; and NADH dehydrogenase subunit 7 (nad7) and NADH dehydrogenase subunit 3 (nad3) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000174l
EU123944.1	160068	Trebouxia aggregata strain SAG 219-1d tRNA-Asp (trnD(guc)), tRNA-Cys (trnC(gca)), tRNA-Asn (trnN(guu)), tRNA-Ile (trnI(cau)), and tRNA-Ile (trnI(gau)) genes, complete sequence; ribosomal protein L6 (rpl6), ribosomal protein S13 (rps13), ribosomal protein S3 (rps3), and NADH dehydrogenase subunit 2 (nad2) genes, complete cds; tRNA-Gln (trnQ(uug)) gene, complete sequence; and ribosomal protein S14 (rps14), ribosomal protein S7 (rps7), ribosomal protein S12 (rps12), and ribosomal protein S4 (rps4) genes, complete cds; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000021l
