,T. sp. A48,T. SL0000003,descriptions
IPR010903,1,1,Protein of unknown function DUF1517
IPR041888,2,1,"ZN598/Hel2, RING finger"
IPR044288,3,3,E3 ubiquitin-protein ligase ZNF598/Hel2
IPR001194,2,2,cDENN domain
IPR005113,2,1,uDENN domain
IPR043153,2,2,"DENN domain, C-terminal lobe"
IPR004788,2,2,"Ribose 5-phosphate isomerase, type A"
IPR020672,1,1,"Ribose-5-phosphate isomerase, type A, subgroup"
IPR000509,1,1,Ribosomal protein L36e
IPR038097,1,1,Ribosomal protein L36e domain superfamily
IPR022043,1,1,Chromatin assembly factor 1 subunit A
IPR007129,1,1,"Ubiquinol-cytochrome c chaperone, CBP3"
IPR021150,1,1,Ubiquinol-cytochrome c chaperone
IPR015757,1,1,Calcineurin B protein
IPR015671,1,0,"GLTSCR protein, conserved domain"
IPR044239,1,1,Peptidyl-prolyl cis-trans isomerase FKBP20-2-like
IPR002004,2,2,Polyadenylate-binding protein/Hyperplastic disc protein
IPR006515,2,2,"Polyadenylate binding protein, human types 1, 2, 3, 4"
IPR036053,2,2,PABC (PABP) domain
IPR008493,1,1,Hikeshi-like domain
IPR031318,1,1,OPI10 family
IPR000031,2,1,PurE domain
IPR039476,1,1,"Pyridinium-3,5-biscarboxylic acid mononucleotide synthase"
IPR001249,1,1,Acetyl-CoA biotin carboxyl carrier
IPR001882,5,5,Biotin-binding site
IPR028203,1,1,Photosynthesis system II assembly factor Ycf48/Hcf136-like domain
IPR003437,1,1,Glycine dehydrogenase (decarboxylating)
IPR020581,3,1,Glycine cleavage system P protein
IPR001077,2,1,O-methyltransferase domain
IPR016461,2,1,O-methyltransferase COMT-type
IPR000741,3,4,"Fructose-bisphosphate aldolase, class-I"
IPR012334,6,6,Pectin lyase fold
IPR039448,2,2,Right handed beta helix domain
IPR005037,4,2,Pre-mRNA-splicing factor 38
IPR003251,1,1,"Rubrerythrin, diiron-binding domain"
IPR008434,1,1,Magnesium-protoporphyrin IX monomethyl ester [oxidative] cyclase
IPR001848,3,1,Ribosomal protein S10
IPR027486,3,1,Ribosomal protein S10 domain
IPR036838,3,1,Ribosomal protein S10 domain superfamily
IPR026913,3,1,Probable methyltransferase-like protein 24
IPR006813,1,0,"Glycosyl transferase, family 17"
IPR007743,7,3,Immunity-related GTPases-like
IPR030385,7,3,IRG-type guanine nucleotide-binding (G) domain
IPR002685,2,1,"Glycosyl transferase, family 15"
IPR006598,11,9,Glycosyl transferase CAP10 domain
IPR006740,2,1,Protein of unknown function DUF604
IPR019398,1,1,Pre-rRNA-processing protein TSR2
IPR008907,2,2,Tubulin polymerization-promoting protein
IPR011685,2,2,
IPR044202,2,2,LETM1/MDM38-like
IPR010226,1,0,"NADH-quinone oxidoreductase, chain I"
IPR037393,1,0,Bud22/Serum response factor-binding protein 1
IPR026051,2,1,Chitobiosyldiphosphodolichol beta-mannosyltransferase ALG1-like
IPR005178,1,1,Organic solute transporter subunit alpha/Transmembrane protein 184
IPR005878,2,2,"Ribosomal protein L1, bacterial-type"
IPR023673,3,3,"Ribosomal protein L1, conserved site"
IPR007205,2,1,Protein HGH1 N-terminal
IPR039717,2,1,Protein Hgh1
IPR006074,6,4,"GTP1/OBG, conserved site"
IPR006169,4,3,GTP1/OBG domain
IPR014100,2,2,GTP-binding protein Obg/CgtA
IPR015349,1,1,"GTP-binding protein OBG, C-terminal"
IPR036346,1,1,"GTP-binding protein OBG, C-terminal domain superfamily"
IPR036726,4,3,GTP1/OBG domain superfamily
IPR045086,4,3,OBG-type GTPase
IPR039138,4,1,
IPR034922,2,2,"RNA exonuclease 1-like, exonuclease domain"
IPR023238,2,0,FAM175 family
IPR002028,2,1,"Tryptophan synthase, alpha chain"
IPR018204,2,1,"Tryptophan synthase, alpha chain, active site"
IPR004263,2,0,Exostosin-like
IPR040911,2,0,"Exostosin, GT47 domain"
IPR010237,2,0,Pyrimidine 5-nucleotidase
IPR003891,9,4,"Initiation factor eIF-4 gamma, MA3"
IPR005818,3,2,"Linker histone H1/H5, domain H15"
IPR044597,1,0,Single myb histone 1-6
IPR001893,2,2,Cysteine-rich Golgi apparatus protein 1 repeat
IPR017873,2,2,"Cysteine-rich Golgi apparatus protein 1 repeat, eukaryote"
IPR039728,2,2,Golgi apparatus protein 1
IPR018864,1,1,"Nucleoporin Nup188, N-terminal"
IPR044840,1,1,Nucleoporin Nup188
IPR007652,4,1,"Alpha 1,4-glycosyltransferase domain"
IPR000748,1,1,"Pseudouridine synthase, RsuA/RluB/E/F"
IPR018496,1,1,"Pseudouridine synthase, RsuA/RluB/E/F, conserved site"
IPR020094,8,4,"Pseudouridine synthase TruA/RsuA/RluB/E/F, N-terminal"
IPR042092,1,1,"Pseudouridine synthase, RsuA/RluB/E/F, catalytic domain"
IPR009291,5,5,Vacuolar protein sorting-associated protein 62
IPR010482,4,1,Peroxin domain
IPR022622,4,1,Domain of unknown function DUF3492
IPR021986,3,3,Spherulation-specific family 4
IPR019349,1,0,"Ribosomal protein S24/S35, mitochondrial, conserved domain"
IPR039848,1,0,"Ribosomal protein S24/S35, mitochondrial"
IPR025481,1,1,Cell morphogenesis protein C-terminal
IPR025614,1,2,Cell morphogenesis protein N-terminal
IPR029473,1,1,Cell morphogenesis central region
IPR039867,1,2,Protein furry/Tao3/Mor2
IPR033579,2,0,Transmembrane protein 128
IPR005722,1,2,"ATP synthase, F1 complex, beta subunit"
IPR024034,2,2,"ATPase, F1/V1 complex, beta/alpha subunit, C-terminal"
IPR036121,3,4,"ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain superfamily"
IPR001232,4,4,S-phase kinase-associated protein 1-like
IPR016072,3,3,"SKP1 component, dimerisation"
IPR016897,3,3,S-phase kinase-associated protein 1
IPR036296,3,3,"SKP1-like, dimerisation domain superfamily"
IPR002372,3,0,Pyrrolo-quinoline quinone repeat
IPR013989,6,3,Development/cell death domain
IPR044832,7,3,DCD domain-containing protein NRP-like
IPR001164,6,4,Arf GTPase activating protein
IPR037278,6,4,ARFGAP/RecO-like zinc finger
IPR038508,6,5,ArfGAP domain superfamily
IPR007275,1,1,YTH domain
IPR006424,3,3,"Glyceraldehyde-3-phosphate dehydrogenase, type I"
IPR020828,3,3,"Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain"
IPR020829,3,3,"Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain"
IPR020830,3,3,"Glyceraldehyde 3-phosphate dehydrogenase, active site"
IPR020831,3,3,Glyceraldehyde/Erythrose phosphate dehydrogenase family
IPR002828,2,2,Survival protein SurE-like phosphatase/nucleotidase
IPR030048,2,1,Survival protein SurE
IPR036523,2,2,SurE-like phosphatase/nucleotidase superfamily
IPR021790,2,0,"PTBP1-like, RNA recognition motif 2"
IPR018022,1,1,IPP transferase
IPR039657,1,1,Dimethylallyltransferase
IPR003781,3,2,CoA-binding
IPR005810,2,1,"Succinyl-CoA ligase, alpha subunit"
IPR005811,4,3,ATP-citrate lyase/succinyl-CoA ligase
IPR017440,3,2,"ATP-citrate lyase/succinyl-CoA ligase, active site"
IPR033847,3,2,"ATP-citrate lyase/succinyl-CoA ligase, conserved site"
IPR008509,1,1,Molybdate-anion transporter
IPR013096,5,4,"Cupin 2, conserved barrel"
IPR045024,3,4,Alternative NADH dehydrogenase
IPR030547,1,1,DNA repair protein XRCC2
IPR010776,1,0,"Homologous-pairing protein 2, winged helix domain"
IPR040461,1,1,
IPR036142,2,2,ENT domain-like superfamily
IPR033485,2,2,"Protein EMSY-LIKE, plant"
IPR044612,2,2,ADP-ribosylation factor-like protein 2/3
IPR006680,10,3,Amidohydrolase-related
IPR011697,2,2,Peptidase C26
IPR015527,2,2,"Peptidase C26, gamma-glutamyl hydrolase"
IPR006710,3,2,"Glycoside hydrolase, family 43"
IPR005162,4,8,Retrotransposon gag domain
IPR001765,4,2,Carbonic anhydrase
IPR036874,4,2,Carbonic anhydrase superfamily
IPR001130,2,1,3'-5' ssDNA/RNA exonuclease TatD-like
IPR001382,7,4,Glycoside hydrolase family 47
IPR036026,7,4,Seven-hairpin glycosidases
IPR044674,3,1,ER degradation-enhancing alpha-mannosidase-like protein 1/2/3
IPR025151,1,0,ELYS-like domain
IPR044718,1,0,E3 ubiquitin-protein ligase HOS1
IPR002492,8,1,"Transposase, Tc1-like"
IPR000560,4,2,"Histidine phosphatase superfamily, clade-2"
IPR033379,3,1,Histidine acid phosphatase active site
IPR039468,1,0,"WDR19, WD40 repeat"
IPR040379,1,0,WD repeat-containing protein 19/dyf-2
IPR005809,1,1,"Succinate--CoA synthetase, beta subunit"
IPR017866,1,1,"Succinyl-CoA synthetase, beta subunit, conserved site"
IPR026082,6,5,ABC transporter A
IPR000796,3,3,Aspartate/other aminotransferase
IPR009511,1,1,Mad1/Cdc20-bound-Mad2 binding protein
IPR005269,1,1,Cytokinin riboside 5'-monophosphate phosphoribohydrolase LOG
IPR031610,1,1,"Protein TIC110, chloroplastic"
IPR007157,2,1,PspA/IM30
IPR006642,2,1,"Rad18, zinc finger UBZ4-type"
IPR014883,1,1,VRR-NUC domain
IPR033315,2,1,Fanconi-associated nuclease 1-like
IPR008658,1,1,Kinesin-associated protein 3
IPR013219,1,1,"Ribosomal protein S27/S33, mitochondrial"
IPR010004,1,1,Uncharacterised protein family Ycf66
IPR033599,1,1,RNA polymerase I transcription initiation factor TAF1B/Rrn7
IPR023165,1,1,"rRNA adenine dimethylase-like, C-terminal"
IPR005727,2,1,"Ribosomal protein L22, bacterial/chloroplast-type"
IPR001907,9,7,ATP-dependent Clp protease proteolytic subunit
IPR023562,8,8,Clp protease proteolytic subunit /Translocation-enhancing protein TepA
IPR033135,4,3,"ClpP, histidine active site"
IPR044825,2,2,Transcription activator GLK1/2-like
IPR001853,1,1,DSBA-like thioredoxin domain
IPR040018,1,1,
IPR045065,2,3,Exportin-1/5
IPR002164,2,2,Nucleosome assembly protein (NAP)
IPR037231,2,2,NAP-like superfamily
IPR035269,2,1,26S Proteasome non-ATPase regulatory subunit 9
IPR040815,2,1,"Nas2, N-terminal"
IPR013581,12,7,Plant PDR ABC transporter associated
IPR029481,4,4,"ABC-transporter, N-terminal domain"
IPR034003,12,7,"ATP-binding cassette transporter, PDR-like subfamily G, domain 2"
IPR043926,14,10,ABC transporter family G domain
IPR006553,17,13,"Leucine-rich repeat, cysteine-containing subtype"
IPR032707,1,2,MYCBP-associated protein
IPR021852,1,1,Domain of unknown function DUF3456
IPR030254,1,1,"ATP-binding cassette subfamily B member 9, six-transmembrane helical domain"
IPR040032,1,1,DENN domain-containing protein 1A/1B/1C
IPR013861,1,1,TMEM115/Pdh1/Rbl19
IPR027079,3,1,TFIIH subunit Tfb1/GTF2H1
IPR005755,2,1,"Ribosomal protein L13, eukaryotic/archaeal"
IPR000690,5,2,"Matrin/U1-C, C2H2-type zinc finger"
IPR013085,3,1,"U1-C, C2H2-type zinc finger"
IPR040023,2,0,WW domain-binding protein 4
IPR002680,4,1,Alternative oxidase
IPR038659,4,1,Alternative oxidase superfamily
IPR024682,2,2,"Nuclear pore localisation protein Npl4, ubiquitin-like domain"
IPR008560,1,0,"Protein of unknown function DUF842, eukaryotic"
IPR003020,2,1,"Bicarbonate transporter, eukaryotic"
IPR011531,2,1,"Bicarbonate transporter-like, transmembrane domain"
IPR002318,2,2,"Alanine-tRNA ligase, class IIc"
IPR003156,2,2,DHHA1 domain
IPR018162,2,2,"Alanine-tRNA ligase, class IIc, anti-codon-binding domain superfamily"
IPR023033,2,2,"Alanine-tRNA ligase, eukaryota/bacteria"
IPR001383,2,1,Ribosomal protein L28
IPR026569,2,2,Ribosomal protein L28/L24
IPR034704,4,4,L28p-like
IPR037147,2,2,Ribosomal protein L28/L24 superfamily
IPR028883,1,0,tRNA-specific adenosine deaminase
IPR045121,1,1,Coenzyme A pyrophosphatase
IPR006581,2,1,VPS10
IPR031777,2,1,"Sortilin, C-terminal"
IPR031778,2,1,"Sortilin, N-terminal"
IPR004730,1,3,Transaldolase type 1
IPR018225,1,3,"Transaldolase, active site"
IPR037379,1,1,WDR74/Nsa1
IPR011687,1,1,Ribosome biogenesis protein Nop53/GLTSCR2
IPR000163,2,2,Prohibitin
IPR012719,1,1,"T-complex protein 1, gamma subunit"
IPR037944,5,4,Peroxiredoxin-5-like
IPR007230,1,1,"Nuclear pore complex protein Nup98-Nup96-like, autopeptidase S59 domain"
IPR021967,1,1,"Nuclear pore complex protein NUP96, C-terminal domain"
IPR036903,1,1,"Nuclear pore complex protein Nup98-Nup96-like, autopeptidase S59 domain superfamily"
IPR037637,1,1,
IPR037665,1,1,Nucleoporin peptidase S59-like
IPR006113,1,1,"6-phosphogluconate dehydrogenase, decarboxylating"
IPR006114,1,1,"6-phosphogluconate dehydrogenase, C-terminal"
IPR006183,1,1,6-phosphogluconate dehydrogenase
IPR000375,6,4,Dynamin stalk domain
IPR003130,3,4,Dynamin GTPase effector
IPR019762,1,1,"Dynamin, GTPase region, conserved site"
IPR020850,3,4,GTPase effector domain
IPR013894,3,2,"RecQ mediated genome instability protein 1, N-terminal"
IPR033472,2,2,"RecQ mediated genome instability protein 1-like, N-terminal helical domain"
IPR039215,2,1,
IPR042470,3,2,"RecQ mediated genome instability protein, N-terminal OB-fold superfamily"
IPR033714,1,1,"Phenylalanly tRNA synthetase, tRNA-binding-domain"
IPR001021,1,1,"Ribosomal protein L25, long-form"
IPR020057,1,1,"Ribosomal protein L25, beta domain"
IPR029751,1,1,Ribosomal protein L25
IPR037121,1,1,"Ribosomal protein L25, C-terminal"
IPR011014,4,4,"Mechanosensitive ion channel MscS, transmembrane-2"
IPR011837,1,1,"Glycogen debranching enzyme, GlgX type"
IPR004469,1,1,Phosphoserine phosphatase
IPR012953,1,1,"BOP1, N-terminal domain"
IPR028598,1,1,WD repeat BOP1/Erb1
IPR035992,6,3,Ricin B-like lectins
IPR027094,1,1,Mitofusin family
IPR000674,3,3,"Aldehyde oxidase/xanthine dehydrogenase, a/b hammerhead"
IPR002346,3,3,"Molybdopterin dehydrogenase, FAD-binding"
IPR002888,3,2,[2Fe-2S]-binding
IPR005107,2,1,"CO dehydrogenase flavoprotein, C-terminal"
IPR008274,3,3,"Aldehyde oxidase/xanthine dehydrogenase, first molybdopterin binding domain"
IPR016166,9,10,"FAD-binding domain, PCMH-type"
IPR016169,9,10,"FAD-binding, type PCMH, subdomain 2"
IPR016208,3,3,Aldehyde oxidase/xanthine dehydrogenase
IPR036318,9,11,"FAD-binding, type PCMH-like superfamily"
IPR036683,2,3,"CO dehydrogenase flavoprotein, C-terminal domain superfamily"
IPR036856,3,3,"Aldehyde oxidase/xanthine dehydrogenase, a/b hammerhead superfamily"
IPR036884,3,3,[2Fe-2S]-binding domain superfamily
IPR037165,3,3,"Aldehyde oxidase/xanthine dehydrogenase, molybdopterin binding domain superfamily"
IPR017582,1,1,tRNA 2-selenouridine synthase
IPR001258,2,1,NHL repeat
IPR000999,5,5,Ribonuclease III domain
IPR011907,2,0,Ribonuclease III
IPR036389,5,5,"Ribonuclease III, endonuclease domain superfamily"
IPR003115,2,0,ParB/Sulfiredoxin
IPR016692,2,0,Sulfiredoxin
IPR036086,2,0,ParB/Sulfiredoxin superfamily
IPR007148,3,3,"Small-subunit processome, Utp12"
IPR027145,1,1,Periodic tryptophan protein 2
IPR044627,3,2,Dehydroascorbate reductases DHAR1/2/3/4
IPR000814,1,1,TATA-box binding protein
IPR030491,1,1,"TATA-box binding protein, conserved site"
IPR033710,1,1,"TATA-box binding protein, eukaryotic"
IPR039677,1,0,Ciliogenesis and planar polarity effector 2
IPR002586,1,0,CobQ/CobB/MinD/ParA nucleotide binding domain
IPR004484,1,1,"Cobyrinic acid a,c-diamide synthase CbiA"
IPR011698,1,1,CobB/CobQ-like glutamine amidotransferase
IPR006408,4,2,"P-type ATPase, subfamily IIB"
IPR011778,1,1,Hydantoinase/dihydropyrimidinase
IPR009582,1,1,Signal peptidase complex subunit 2
IPR018638,1,1,"Domain of unknown function DUF2061, membrane"
IPR007150,1,1,Checkpoint protein Hus1/Mec3
IPR002816,2,1,TraB/PrgY/GumN family
IPR029753,6,6,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain conserved site"
IPR010953,1,1,"Citrate synthase, type I"
IPR001210,1,1,Ribosomal protein S17e
IPR018273,1,1,"Ribosomal protein S17e, conserved site"
IPR036401,1,1,Ribosomal protein S17e-like superfamily
IPR008709,1,1,Neurochondrin
IPR005772,1,1,"ATPase, V1 complex, subunit F, eukaryotic"
IPR008218,1,1,"ATPase, V1 complex, subunit F"
IPR036906,1,1,"ATPase, V1 complex, subunit F superfamily"
IPR002618,4,3,UDPGP family
IPR004882,3,2,Luc7-related
IPR003737,1,0,N-acetylglucosaminyl phosphatidylinositol deacetylase-related
IPR024078,1,0,Putative deacetylase LmbE-like domain superfamily
IPR039516,1,0,
IPR013210,7,3,"Leucine-rich repeat-containing N-terminal, plant-type"
IPR039340,1,1,Transcription factor Tfc4/TFIIIC-102/Sfc4
IPR010756,1,1,Telomere length and silencing protein 1-like
IPR021163,2,1,"Ferredoxin-NADP+ reductase, adrenodoxin-type"
IPR002652,1,1,"Importin-alpha, importin-beta-binding domain"
IPR024931,1,1,Importin subunit alpha
IPR032413,1,1,Atypical Arm repeat
IPR036975,1,1,"Importin-alpha, importin-beta-binding domain superfamily"
IPR001816,2,2,Translation elongation factor EFTs/EF1B
IPR014039,2,2,"Translation elongation factor EFTs/EF1B, dimerisation"
IPR018101,2,2,"Translation elongation factor Ts, conserved site"
IPR036402,2,2,"Elongation factor Ts, dimerisation domain superfamily"
IPR003734,3,3,Domain of unknown function DUF155
IPR043216,4,3,Phosphatidate (PA) phosphatase-related
IPR044571,2,2,Phosphatidylinositol 4-kinase gamma 1-8
IPR003497,6,4,BRO N-terminal domain
IPR044611,2,3,Ubiquitin-protein ligase E3A/B/C-like
IPR026736,1,0,Protein virilizer
IPR004130,3,2,GPN-loop GTPase
IPR030231,1,1,GPN-loop GTPase 2
IPR010061,1,1,Methylmalonate-semialdehyde dehydrogenase
IPR019147,2,2,"Suppressor of white apricot, N-terminal domain"
IPR040397,2,2,Suppressor of white apricot
IPR003451,1,1,4-hydroxy-3-methylbut-2-enyl diphosphate reductase
IPR018215,3,3,"ClpP, Ser active site"
IPR000911,3,3,Ribosomal protein L11/L12
IPR020783,3,3,"Ribosomal protein L11, C-terminal"
IPR020784,3,3,"Ribosomal protein L11, N-terminal"
IPR020785,2,2,"Ribosomal protein L11, conserved site"
IPR036769,3,3,"Ribosomal protein L11, C-terminal domain superfamily"
IPR036796,3,3,"Ribosomal protein L11/L12, N-terminal domain superfamily"
IPR000126,1,0,"Serine proteases, V8 family, serine active site"
IPR009771,1,1,Ribosome control protein 1
IPR040096,1,1,RAB6A-GEF complex partner protein 1
IPR007811,1,1,DNA-directed RNA polymerase III subunit RPC4
IPR025461,3,3,ABA DEFICIENT 4-like
IPR010604,1,1,Plant AUGMIN subunit 7
IPR029711,1,0,HAUS augmin-like complex subunit 7-like
IPR020618,1,1,Adenylate kinase isoenzyme 6
IPR024326,2,1,"Ribosomal RNA-processing protein 7, C-terminal domain"
IPR002015,2,2,Proteasome/cyclosome repeat
IPR016642,1,1,"26S proteasome regulatory complex, non-ATPase subcomplex, Rpn2/Psmd1 subunit"
IPR040623,1,1,"26S proteasome regulatory subunit RPN2, C-terminal"
IPR040109,1,1,
IPR005578,1,1,Yif1 family
IPR040648,6,1,"HMG domain-containing protein 3, CxC4 like cysteine cluster"
IPR025254,2,1,Domain of unknown function DUF4201
IPR004160,4,3,"Translation elongation factor EFTu/EF1A, C-terminal"
IPR027525,1,1,Eukaryotic translation initiation factor 3 subunit I
IPR011598,5,3,"Myc-type, basic helix-loop-helix (bHLH) domain"
IPR036638,5,3,Helix-loop-helix DNA-binding domain superfamily
IPR044295,1,1,Transcription factor BIM1/2/3
IPR016267,1,1,UTP--glucose-1-phosphate uridylyltransferase
IPR007213,2,3,Methyltransferase Ppm1/Ppm2/Tcmp
IPR016651,1,1,Leucine carboxyl methyltransferase 1
IPR003767,1,0,Malate/L-lactate dehydrogenase-like
IPR006238,1,0,"Cystathionine beta-lyase, eukaryotic"
IPR036111,1,0,Malate/L-sulfolactate/L-lactate dehydrogenase-like superfamily
IPR043143,1,0,"Malate/L-sulfolactate/L-lactate dehydrogenase-like, NADPH binding domain"
IPR043144,1,0,"Malate/L-sulfolactate/L-lactate dehydrogenase-like, alpha-helical domain"
IPR003923,1,0,"Transcription initiation factor TFIID, 23-30kDa subunit"
IPR008507,2,1,Protein of unknown function DUF789
IPR005645,2,1,Serine hydrolase FSH
IPR018618,1,0,Vacuolar import/degradation protein Vid24
IPR000361,3,1,FeS cluster biogenesis
IPR016092,3,1,FeS cluster insertion protein
IPR017870,2,0,"FeS cluster insertion, C-terminal, conserved site"
IPR031108,1,0,"FeS assembly protein IscA, plant/cyanobacteria type"
IPR035903,3,1,HesB-like domain superfamily
IPR002033,1,0,Sec-independent periplasmic protein translocase TatC
IPR019820,1,0,"Sec-independent periplasmic protein translocase, conserved site"
IPR015507,3,2,Ribosomal RNA large subunit methyltransferase E
IPR028590,1,0,tRNA (cytidine(32)/guanosine(34)-2-O)-methyltransferase TRM7
IPR007231,1,1,Nucleoporin interacting component Nup93/Nic96
IPR045136,1,1,Isoamyl acetate-hydrolyzing esterase Iah1-like
IPR032843,1,1,"Cleavage inducing molecular chaperone, Jiv"
IPR006746,1,1,26S proteasome non-ATPase regulatory subunit Rpn12
IPR033464,2,1,CSN8/PSMD8/EIF3K
IPR000740,2,2,GrpE nucleotide exchange factor
IPR009012,2,2,"GrpE nucleotide exchange factor, head"
IPR013805,2,2,"GrpE nucleotide exchange factor, coiled-coil"
IPR024661,1,1,"DNA-directed RNA polymerase III, subunit Rpc31"
IPR001732,1,1,"UDP-glucose/GDP-mannose dehydrogenase, N-terminal"
IPR014026,1,1,"UDP-glucose/GDP-mannose dehydrogenase, dimerisation"
IPR014027,1,1,"UDP-glucose/GDP-mannose dehydrogenase, C-terminal"
IPR017476,1,1,UDP-glucose/GDP-mannose dehydrogenase
IPR028356,1,1,"UDP-glucose 6-dehydrogenase, eukaryotic type"
IPR036220,1,1,"UDP-glucose/GDP-mannose dehydrogenase, C-terminal domain superfamily"
IPR034104,1,1,Sm-like protein Lsm1
IPR001108,1,1,"Peptidase A22A, presenilin"
IPR006639,4,4,Presenilin/signal peptide peptidase
IPR042524,1,1,"Presenilin, C-terminal"
IPR012580,2,2,NUC153
IPR039754,1,1,Pre-rRNA-processing protein Esf1
IPR022278,2,2,Phosphoserine aminotransferase
IPR022495,1,1,Serine/threonine-protein kinase Bud32
IPR003121,2,2,SWIB/MDM2 domain
IPR019835,2,2,SWIB domain
IPR036885,2,2,SWIB/MDM2 domain superfamily
IPR004901,1,1,Reversibly glycosylated polypeptide
IPR037595,1,1,Reversibly glycosylated polypeptide family
IPR024936,5,2,Cyclophilin-type peptidyl-prolyl cis-trans isomerase
IPR002082,1,1,Aspartate carbamoyltransferase
IPR000398,2,1,Thymidylate synthase
IPR001796,2,1,Dihydrofolate reductase domain
IPR012262,1,1,Bifunctional dihydrofolate reductase/thymidylate synthase
IPR017925,2,0,Dihydrofolate reductase conserved site
IPR020940,1,1,"Thymidylate synthase, active site"
IPR023451,2,1,Thymidylate synthase/dCMP hydroxymethylase domain
IPR036926,2,1,Thymidylate synthase/dCMP hydroxymethylase superfamily
IPR045097,2,1,Thymidylate synthase/dCMP hydroxymethylase
IPR019275,1,1,Protein of unknown function DUF2301
IPR022091,2,2,"TATA element modulatory factor 1, TATA binding"
IPR022092,1,1,TATA element modulatory factor 1 DNA binding
IPR045022,1,1,3-ketodihydrosphingosine reductase KDSR-like
IPR023799,3,1,Ribosome-binding factor A domain superfamily
IPR015187,1,1,"BRCA2, OB1"
IPR015252,1,1,"Breast cancer type 2 susceptibility protein, helical domain"
IPR015525,1,1,Breast cancer type 2 susceptibility protein
IPR036315,1,1,BRCA2 helical domain superfamily
IPR031568,1,0,"Protein Pet117, mitochondrial"
IPR004101,2,2,"Mur ligase, C-terminal"
IPR013221,2,2,"Mur ligase, central"
IPR001772,1,1,Kinase associated domain 1 (KA1)
IPR028375,1,1,"KA1 domain/Ssp2, C-terminal"
IPR000292,3,3,Formate/nitrite transporter
IPR002171,3,2,Ribosomal protein L2
IPR014726,3,2,"Ribosomal protein L2, domain 3"
IPR022666,3,2,"Ribosomal Proteins L2, RNA binding domain"
IPR022669,3,2,"Ribosomal protein L2, C-terminal"
IPR022671,1,1,"Ribosomal protein L2, conserved site"
IPR023672,1,1,"Ribosomal protein L2, archaeal-type"
IPR000244,2,1,Ribosomal protein L9
IPR009027,2,1,"Ribosomal protein L9/RNase H1, N-terminal"
IPR020070,2,1,"Ribosomal protein L9, N-terminal"
IPR036791,2,1,"Ribosomal protein L9, C-terminal domain superfamily"
IPR036935,2,1,"Ribosomal protein L9, N-terminal domain superfamily"
IPR029488,2,1,Hemingway/CFA97
IPR038791,2,2,Cilia- and flagella-associated protein 97
IPR003213,2,1,"Cytochrome c oxidase, subunit VIb"
IPR012891,1,1,GCK domain
IPR036549,2,1,"Cytochrome c oxidase, subunit VIb superfamily"
IPR018866,4,3,Zinc-finger domain of monoamine-oxidase A repressor R1
IPR040221,4,3,CDCA7/CDA7L
IPR044163,1,1,Sanguinarine reductase SARED1-like
IPR019495,1,1,"Exosome complex component CSL4, C-terminal"
IPR039771,1,1,Exosome complex component Csl4
IPR026147,1,1,"Rab3GAP catalytic subunit, conserved domain"
IPR006924,1,1,Ribosomal protein PSRP-3/Ycf65
IPR038447,1,1,PSRP-3/Ycf65 superfamily
IPR000793,2,2,"ATP synthase, alpha subunit, C-terminal"
IPR038376,2,2,"ATP synthase, alpha subunit, C-terminal domain superfamily"
IPR003808,2,2,"Fe-S metabolism associated domain, SufE-like"
IPR001406,8,5,"Pseudouridine synthase I, TruA"
IPR020095,8,6,"Pseudouridine synthase I, TruA, C-terminal"
IPR020097,8,5,"Pseudouridine synthase I, TruA, alpha/beta domain"
IPR007582,1,1,"TFIID subunit TAF5, NTD2 domain"
IPR037264,1,1,"TFIID subunit TAF5, NTD2 domain superfamily"
IPR014472,1,1,Choline/ethanolamine phosphotransferase
IPR045119,1,1,SUN domain-containing protein 1-5
IPR044827,1,1,G-box-binding factor-like
IPR039782,1,1,Intermembrane lipid transfer protein VPS13B
IPR037695,1,1,IQ and ubiquitin-like domain-containing protein
IPR034644,1,1,
IPR019452,2,1,Vacuolar sorting protein 39/Transforming growth factor beta receptor-associated domain 1
IPR000453,1,1,Chorismate synthase
IPR020541,1,1,"Chorismate synthase, conserved site"
IPR035904,1,1,Chorismate synthase AroC superfamily
IPR013748,3,3,"Replication factor C, C-terminal"
IPR003656,1,1,"Zinc finger, BED-type"
IPR026113,2,2,tRNA N(3)-methylcytidine methyltransferase METTL2/6/8-like
IPR027121,2,1,
IPR043155,2,1,"Vacuolar protein sorting-associated protein 33, domain 3b"
IPR000465,2,0,XPA
IPR009061,4,3,Putative DNA-binding domain superfamily
IPR022656,2,1,"XPA, C-terminal"
IPR037129,3,3,XPA domain superfamily
IPR023035,1,1,"Ribosomal protein S9, bacterial/plastid"
IPR024109,1,1,"Tryptophan-tRNA ligase, bacterial-type"
IPR010448,1,1,Torsin
IPR030553,1,1,
IPR005511,2,1,Senescence marker protein-30 (SMP-30)
IPR013658,2,3,SMP-30/Gluconolactonase/LRE-like region
IPR019516,1,0,Glomulin/ALF4
IPR044917,4,2,DNA-directed primase/polymerase protein
IPR002319,2,2,Phenylalanyl-tRNA synthetase
IPR004529,1,1,"Phenylalanyl-tRNA synthetase, class IIc, alpha subunit"
IPR040586,1,0,PheRS DNA binding domain 2
