,T. sp. A48,T. SL0000003,descriptions
PF17655,3,2,Inward rectifier potassium channel C-terminal domain
PF14260,2,3,C4-type zinc-finger of DNA polymerase delta
PF04749,8,1,PLAC8 family
PF04054,1,1,"CCR4-Not complex component, Not1"
PF12842,1,1,"CCR4-Not complex, Not1 subunit, domain of unknown function DUF3819"
PF16415,1,1,CCR4-NOT transcription complex subunit 1 CAF1-binding domain
PF16417,1,1,CCR4-NOT transcription complex subunit 1 TTP binding domain
PF16418,1,1,CCR4-NOT transcription complex subunit 1 HEAT repeat
PF02590,1,1,Predicted SPOUT methyltransferase
PF00240,24,12,Ubiquitin family
PF14560,7,3,Ubiquitin-like domain
PF13868,5,5,Trichohyalin-plectin-homology domain
PF04413,1,0,3-Deoxy-D-manno-octulosonic-acid transferase (kdotransferase)
PF15346,2,2,Arginine and glutamate-rich 1
PF00590,6,4,Tetrapyrrole (Corrin/Porphyrin) Methylases
PF17814,1,1,LisH-like dimerisation domain
PF13462,1,0,Thioredoxin
PF10067,5,1,Predicted membrane protein (DUF2306)
PF13442,1,0,"Cytochrome C oxidase, cbb3-type, subunit III"
PF01761,2,2,3-dehydroquinate synthase
PF13685,3,2,Iron-containing alcohol dehydrogenase
PF02970,1,1,Tubulin binding cofactor A
PF04719,1,0,hTAFII28-like protein conserved region
PF07156,1,1,Prenylcysteine lyase
PF12054,1,1,Domain of unknown function (DUF3535)
PF10469,4,2,AKAP7 2'5' RNA ligase-like domain
PF04791,4,3,LMBR1-like membrane protein
PF13326,5,3,Photosystem II Pbs27
PF07572,2,1,Bucentaur or craniofacial development
PF10601,2,1,LITAF-like zinc ribbon domain
PF00041,3,2,Fibronectin type III domain
PF07646,9,6,Kelch motif
PF00334,5,5,Nucleoside diphosphate kinase
PF01061,19,16,ABC-2 type transporter
PF03215,2,1,Rad17 P-loop domain
PF02204,3,2,Vacuolar sorting protein 9 (VPS9) domain
PF18151,1,1,Domain of unknown function (DUF5601)
PF01679,1,0,Proteolipid membrane potential modulator
PF06979,1,0,TMEM70/TMEM186/TMEM223 protein family
PF04832,6,5,SOUL heme-binding protein
PF10184,9,5,Uncharacterized conserved protein (DUF2358)
PF14886,1,1,FAM183A and FAM183B related
PF11779,1,0,Small subunit of serine palmitoyltransferase-like
PF00910,1,1,RNA helicase
PF00766,1,1,Electron transfer flavoprotein FAD-binding domain
PF01012,2,2,Electron transfer flavoprotein domain
PF00070,16,12,Pyridine nucleotide-disulphide oxidoreductase
PF02852,6,5,"Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain"
PF05670,3,2,NFACT protein RNA binding domain
PF05833,3,1,NFACT N-terminal and middle domains
PF18297,1,0,NFACT protein RNA binding domain
PF03155,2,1,"ALG6, ALG8 glycosyltransferase family"
PF01042,4,1,Endoribonuclease L-PSP
PF02780,5,5,"Transketolase, C-terminal domain"
PF09649,1,1,Histone chaperone domain CHZ
PF20181,1,1,Family of unknown function (DUF6544)
PF09793,1,1,Anticodon-binding domain
PF01480,2,2,PWI domain
PF08234,1,1,Chromosome segregation protein Spc25
PF05172,1,1,Nup53/35/40-type RNA recognition motif
PF12352,5,3,Snare region anchored in the vesicle membrane C-terminus
PF01237,4,4,Oxysterol-binding protein
PF07534,4,6,TLD
PF01161,1,1,Phosphatidylethanolamine-binding protein
PF00174,2,2,Oxidoreductase molybdopterin binding domain
PF00970,3,3,Oxidoreductase FAD-binding domain
PF03404,2,2,Mo-co oxidoreductase dimerisation domain
PF01432,4,3,Peptidase family M3
PF08512,2,2,Histone chaperone Rttp106-like
PF08644,1,1,FACT complex subunit (SPT16/CDC68)
PF14826,1,1,FACT complex subunit SPT16 N-terminal lobe domain
PF07926,1,1,TPR/MLP1/MLP2-like protein
PF17903,1,1,Krr1 KH1 domain
PF01765,2,2,Ribosome recycling factor
PF00326,10,9,Prolyl oligopeptidase family
PF02897,3,3,"Prolyl oligopeptidase, N-terminal beta-propeller domain"
PF00128,6,5,"Alpha amylase, catalytic domain"
PF02922,6,4,Carbohydrate-binding module 48 (Isoamylase N-terminal domain)
PF03881,1,1,Fructosamine kinase
PF14749,1,1,Acyl-coenzyme A oxidase N-terminal
PF13350,5,2,Tyrosine phosphatase family
PF10568,5,3,Outer mitochondrial membrane transport complex protein
PF17171,4,3,"Glutathione S-transferase, C-terminal domain"
PF17172,5,4,Glutathione S-transferase N-terminal domain
PF20168,1,1,Sister chromatid cohesion protein PDS5 protein
PF16499,2,2,Alpha galactosidase A
PF17801,2,2,Alpha galactosidase C-terminal beta sandwich domain
PF16177,5,2,Acetyl-coenzyme A synthetase N-terminus
PF07749,1,1,"Endoplasmic reticulum protein ERp29, C-terminal domain"
PF00145,5,1,C-5 cytosine-specific DNA methylase
PF03982,8,5,Diacylglycerol acyltransferase
PF01794,4,2,Ferric reductase like transmembrane component
PF08022,1,2,FAD-binding domain
PF08030,3,4,Ferric reductase NAD binding domain
PF04479,6,3,RTA1 like protein
PF01053,4,2,Cys/Met metabolism PLP-dependent enzyme
PF13672,5,5,Protein phosphatase 2C
PF06777,2,1,Helical and beta-bridge domain
PF08706,13,3,D5 N terminal like
PF03358,10,8,NADPH-dependent FMN reductase
PF03184,5,0,DDE superfamily endonuclease
PF03221,3,1,Tc5 transposase DNA-binding domain
PF08707,6,1,Primase C terminal 2 (PriCT-2)
PF12739,2,1,ER-Golgi trafficking TRAPP I complex 85 kDa subunit
PF01713,4,3,Smr domain
PF00349,1,1,Hexokinase
PF03727,1,1,Hexokinase
PF03909,6,4,BSD domain
PF14304,1,1,Transcription termination and cleavage factor C-terminal
PF14327,2,1,Hinge domain of cleavage stimulation factor subunit 2
PF03901,4,2,Alg9-like mannosyltransferase family
PF02637,1,1,GatB domain
PF02934,1,1,GatB/GatE catalytic domain
PF13454,2,0,FAD-NAD(P)-binding
PF02535,6,4,ZIP Zinc transporter
PF00375,2,2,Sodium:dicarboxylate symporter family
PF02771,4,4,"Acyl-CoA dehydrogenase, N-terminal domain"
PF03439,1,1,"Early transcription elongation factor of RNA pol II, NGN section"
PF11942,1,1,"Spt5 transcription elongation factor, acidic N-terminal"
PF03062,5,2,"MBOAT, membrane-bound O-acyltransferase family"
PF01661,5,3,Macro domain
PF00350,19,16,Dynamin family
PF12999,1,0,Glucosidase II beta subunit-like
PF13015,3,1,Glucosidase II beta subunit-like protein
PF10193,1,1,Telomere length regulation protein
PF00011,7,5,Hsp20/alpha crystallin family
PF17886,4,3,HSP20-like domain found in ArsA
PF10155,1,1,CCR4-NOT transcription complex subunit 11
PF01118,2,2,"Semialdehyde dehydrogenase, NAD binding domain"
PF02774,2,2,"Semialdehyde dehydrogenase, dimerisation domain"
PF02338,7,2,OTU-like cysteine protease
PF03193,2,1,RsgA GTPase
PF01133,1,0,Enhancer of rudimentary
PF03770,1,0,Inositol polyphosphate kinase
PF13472,10,6,GDSL-like Lipase/Acylhydrolase family
PF01063,6,3,Amino-transferase class IV
PF16367,1,0,RNA recognition motif
PF13001,2,0,Proteasome stabiliser
PF01040,7,4,UbiA prenyltransferase family
PF09416,1,0,RNA helicase (UPF2 interacting domain)
PF18141,1,0,"RNA helicase UPF1, 1B domain"
PF00647,1,0,"Elongation factor 1 gamma, conserved domain"
PF02514,2,1,CobN/Magnesium Chelatase
PF11965,2,1,Domain of unknown function (DUF3479)
PF19283,1,1,"Acylamino-acid-releasing enzyme, N-terminal domain"
PF20434,6,8,BD-FAE
PF00324,5,2,Amino acid permease
PF13520,6,2,Amino acid permease
PF19568,6,2,"Sporulation stage III, protein AA"
PF01676,1,1,Metalloenzyme superfamily
PF10143,1,1,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase"
PF08613,1,0,Cyclin
PF00170,14,11,bZIP transcription factor
PF00725,2,2,"3-hydroxyacyl-CoA dehydrogenase, C-terminal domain"
PF02737,2,2,"3-hydroxyacyl-CoA dehydrogenase, NAD binding domain"
PF09192,1,1,"Actin-fragmin kinase, catalytic"
PF06552,2,2,Plant specific mitochondrial import receptor subunit TOM20
PF01092,1,1,Ribosomal protein S6e
PF14688,1,1,Domain of unknown function (DUF4461)
PF01221,2,2,Dynein light chain type 1
PF07883,8,7,Cupin domain
PF01238,1,0,Phosphomannose isomerase type I C-terminal
PF20511,1,1,"Phosphomannose isomerase type I, catalytic domain"
PF20512,1,1,"Phosphomannose isomerase type I, helical insertion domain"
PF08636,1,0,ER protein Pkr1
PF03054,3,2,tRNA methyl transferase HUP domain
PF14008,12,8,Iron/zinc purple acid phosphatase-like protein C
PF09742,1,0,Dyggve-Melchior-Clausen syndrome protein
PF05255,2,1,Uncharacterised protein family (UPF0220)
PF04136,1,0,Sec34-like family
PF00705,2,0,"Proliferating cell nuclear antigen, N-terminal domain"
PF02747,2,0,"Proliferating cell nuclear antigen, C-terminal domain"
PF13668,19,17,Ferritin-like domain
PF01909,2,1,Nucleotidyltransferase domain
PF04928,1,0,Poly(A) polymerase central domain
PF00623,3,3,"RNA polymerase Rpb1, domain 2"
PF04983,4,3,"RNA polymerase Rpb1, domain 3"
PF04997,3,2,"RNA polymerase Rpb1, domain 1"
PF04998,4,3,"RNA polymerase Rpb1, domain 5"
PF05000,4,3,"RNA polymerase Rpb1, domain 4"
PF15801,2,2,"zf-MYND-like zinc finger, mRNA-binding"
PF01634,1,1,ATP phosphoribosyltransferase
PF08029,1,1,"HisG, C-terminal domain"
PF12348,5,4,CLASP N terminal
PF13884,1,1,Chaperone of endosialidase
PF01084,1,1,Ribosomal protein S18
PF02190,6,5,ATP-dependent protease La (LON) substrate-binding domain
PF01569,10,7,PAP2 superfamily
PF01280,1,1,Ribosomal protein L19e
PF01781,1,1,Ribosomal L38e protein family
PF11265,2,0,Mediator complex subunit 25 von Willebrand factor type A
PF09084,1,1,NMT1/THI5 like
PF13704,2,2,Glycosyl transferase family 2
PF01697,1,2,Glycosyltransferase family 92
PF04734,2,1,"Neutral/alkaline non-lysosomal ceramidase, N-terminal"
PF17048,2,1,"Neutral/alkaline non-lysosomal ceramidase, C-terminal"
PF10474,3,2,Protein of unknown function C-terminus (DUF2451)
PF05914,1,1,RIB43A
PF19036,3,1,"First Longin domain of FUZ, MON1 and HPS1"
PF05699,9,0,hAT family C-terminal dimerisation region
PF00571,8,8,CBS domain
PF01180,3,2,Dihydroorotate dehydrogenase
PF03407,5,4,Nucleotide-diphospho-sugar transferase
PF08066,1,0,PMC2NT (NUC016) domain
PF16543,1,1,"DRG Family Regulatory Proteins, Tma46"
PF00415,14,11,Regulator of chromosome condensation (RCC1) repeat
PF13540,14,11,Regulator of chromosome condensation (RCC1) repeat
PF00494,4,3,Squalene/phytoene synthase
PF09127,1,1,"Leukotriene A4 hydrolase, C-terminal"
PF01936,1,0,NYN domain
PF03188,6,3,Eukaryotic cytochrome b561
PF00327,2,1,Ribosomal protein L30p/L7e
PF11904,1,1,GPCR-chaperone
PF07973,5,5,Threonyl and Alanyl tRNA synthetase second additional domain
PF00609,3,3,Diacylglycerol kinase accessory domain
PF03992,4,3,Antibiotic biosynthesis monooxygenase
PF03652,1,0,Holliday junction resolvase
PF06337,1,0,DUSP domain
PF01144,1,1,Coenzyme A transferase
PF14825,1,1,Cilia- and flagella-associated protein 77
PF10157,3,0,BLOC-1-related complex sub-unit 6 C-terminal helix
PF02375,5,3,jmjN domain
PF02928,3,2,C5HC2 zinc finger
PF00536,7,5,SAM domain (Sterile alpha motif)
PF01036,2,2,Bacteriorhodopsin-like protein
PF07647,8,5,SAM domain (Sterile alpha motif)
PF13243,1,1,Squalene-hopene cyclase C-terminal domain
PF13249,1,0,Squalene-hopene cyclase N-terminal domain
PF12624,5,2,N-terminal region of Chorein or VPS13
PF16908,3,1,"Vacuolar sorting-associated protein 13, N-terminal"
PF16909,2,3,Vacuolar-sorting-associated 13 protein C-terminal
PF16910,3,2,Repeating coiled region of VPS13
PF01594,1,1,AI-2E family transporter
PF03848,2,0,Tellurite resistance protein TehB
PF03874,2,2,RNA polymerase Rpb4
PF09743,1,1,E3 UFM1-protein ligase 1
PF04452,3,2,RNA methyltransferase domain
PF01557,2,2,Fumarylacetoacetate (FAA) hydrolase family
PF01590,4,3,GAF domain
PF09298,1,0,Fumarylacetoacetase N-terminal
PF00096,4,4,"Zinc finger, C2H2 type"
PF01428,2,1,AN1-like Zinc finger
PF13894,1,1,C2H2-type zinc finger
PF00735,8,4,Septin
PF01920,4,4,Prefoldin subunit
PF04539,3,3,Sigma-70 region 3
PF04542,4,3,Sigma-70 region 2
PF04545,3,3,"Sigma-70, region 4"
PF00370,3,2,"FGGY family of carbohydrate kinases, N-terminal domain"
PF02782,5,3,"FGGY family of carbohydrate kinases, C-terminal domain"
PF03980,2,0,Nnf1
PF16450,5,5,Proteasomal ATPase OB C-terminal domain
PF16124,11,1,RecQ zinc-binding
PF17035,2,2,Bromodomain extra-terminal - transcription regulation
PF03399,5,3,SAC3/GANP family
PF00383,7,2,Cytidine and deoxycytidylate deaminase zinc-binding region
PF14437,4,1,MafB19-like deaminase
PF01588,6,5,Putative tRNA binding domain
PF03097,6,4,BRO1-like domain
PF12165,2,1,Alfin
PF00224,6,5,"Pyruvate kinase, barrel domain"
PF02887,6,6,"Pyruvate kinase, alpha/beta domain"
PF05327,1,1,RNA polymerase I specific transcription initiation factor RRN3
PF04889,1,1,Cwf15/Cwc15 cell cycle control protein
PF01959,1,1,3-dehydroquinate synthase II
PF08543,3,2,Phosphomethylpyrimidine kinase
PF01170,3,2,Putative RNA methylase family UPF0020
PF02142,2,2,MGS-like domain
PF02655,3,4,ATP-grasp domain
PF02787,1,1,"Carbamoyl-phosphate synthetase large chain, oligomerisation domain"
PF07478,5,4,D-ala D-ala ligase C-terminus
PF00276,2,2,Ribosomal protein L23
PF03939,1,1,"Ribosomal protein L23, N-terminal domain"
PF04720,2,2,PDDEXK-like family of unknown function
PF12409,8,2,P5-type ATPase cation transporter
PF01406,4,2,tRNA synthetases class I (C) catalytic domain
PF00291,12,11,Pyridoxal-phosphate dependent enzyme
PF04387,2,1,"Protein tyrosine phosphatase-like protein, PTPLA"
PF05019,2,1,Coenzyme Q (ubiquinone) biosynthesis protein Coq4
PF01214,1,1,Casein kinase II regulatory subunit
PF08442,2,2,ATP-grasp domain
PF16114,1,1,ATP citrate lyase citrate-binding
PF05158,1,1,RNA polymerase Rpc34 subunit
PF11998,2,2,Low psii accumulation1 / Rep27
PF01326,4,3,"Pyruvate phosphate dikinase, AMP/ATP-binding domain"
PF06421,2,2,GTP-binding protein LepA C-terminus
PF03851,2,2,UV-endonuclease UvdE
PF11913,2,3,Protein of unknown function (DUF3431)
PF00881,2,2,Nitroreductase family
PF02470,1,1,MlaD protein
PF00125,42,30,Core histone H2A/H2B/H3/H4
PF07524,1,1,Bromodomain associated
PF10406,1,0,Transcription factor TFIID complex subunit 8 C-term
PF00344,3,3,SecY
PF10559,1,1,Plug domain of Sec61p
PF05542,3,3,Protein of unknown function (DUF760)
PF16501,1,0,S phase cyclin A-associated protein in the endoplasmic reticulum
PF03133,10,6,Tubulin-tyrosine ligase family
PF04139,1,1,Rad9
PF10590,1,1,Pyridoxine 5'-phosphate oxidase C-terminal dimerisation region
PF13401,11,6,AAA domain
PF07123,2,1,Photosystem II reaction centre W protein (PsbW)
PF00575,14,12,S1 RNA binding domain
PF07541,1,1,Eukaryotic translation initiation factor 2 alpha subunit
PF00156,5,4,Phosphoribosyl transferase domain
PF13793,2,2,N-terminal domain of ribose phosphate pyrophosphokinase
PF14572,1,1,Phosphoribosyl synthetase-associated domain
PF00166,4,4,Chaperonin 10 Kd subunit
PF03853,1,1,YjeF-related protein N-terminus
PF03060,1,1,Nitronate monooxygenase
PF08588,1,1,Protein of unknown function (DUF1769)
PF01193,6,4,RNA polymerase Rpb3/Rpb11 dimerisation domain
PF13656,2,2,RNA polymerase Rpb3/Rpb11 dimerisation domain
PF10345,1,0,Cohesin loading factor
PF01103,3,2,Omp85 superfamily domain
PF07821,4,4,Alpha-amylase C-terminal beta-sheet domain
PF06884,3,2,Protein of unknown function (DUF1264)
PF13831,7,4,PHD-finger
PF01373,3,2,Glycosyl hydrolase family 14
PF01980,1,1,tRNA-methyltransferase O
PF10186,2,0,Vacuolar sorting 38 and autophagy-related subunit 14
PF04433,3,2,SWIRM domain
PF16495,1,1,SWIRM-associated region 1
PF16496,1,1,SWIRM-associated domain at the N-terminal
PF06461,1,1,"CHD subfamily II, SANT-like domain"
PF06465,1,1,"CHD subfamily II, DUF1087"
PF00133,7,5,"tRNA synthetases class I (I, L, M and V)"
PF08264,8,6,Anticodon-binding domain of tRNA ligase
PF13603,1,1,"Leucyl-tRNA synthetase, Domain 2"
PF07928,1,1,Vps54-like protein
PF01927,2,2,Mut7-C RNAse domain
PF04073,2,1,Aminoacyl-tRNA editing domain
PF10674,1,1,Protein of unknown function (DUF2488)
PF16035,1,1,Chalcone isomerase like
PF09229,2,2,"Activator of Hsp90 ATPase, N-terminal"
PF02274,1,1,Arginine deiminase
PF08536,1,1,Whirly transcription factor
PF00479,2,2,"Glucose-6-phosphate dehydrogenase, NAD binding domain"
PF02781,2,2,"Glucose-6-phosphate dehydrogenase, C-terminal domain"
PF00280,1,1,Potato inhibitor I family
PF13483,5,1,Beta-lactamase superfamily domain
PF17807,1,0,Variant UBP zinc finger
PF12710,2,2,haloacid dehalogenase-like hydrolase
PF08271,1,1,TFIIB zinc-binding
PF03159,4,3,XRN 5'-3' exonuclease N-terminus
PF00935,1,1,Ribosomal protein L44
PF18018,2,1,DNA polymerase delta subunit OB-fold domain
PF04824,2,2,Conserved region of Rad21 / Rec8 like protein
PF04825,1,1,N terminus of Rad21 / Rec8 like protein
PF16881,1,2,N-terminal domain of lipoyl synthase of Radical_SAM family
PF03378,1,1,"CAS/CSE protein, C-terminus"
PF08506,1,1,Cse1
PF03997,1,1,VPS28 protein
PF00454,10,9,Phosphatidylinositol 3- and 4-kinase
PF02259,5,3,FAT domain
PF02260,7,5,FATC domain
PF02854,10,4,MIF4G domain
PF04050,2,1,Up-frameshift suppressor 2
PF10607,7,4,CTLH/CRA C-terminal to LisH motif domain
PF08321,2,1,PPP5 TPR repeat region
PF02732,2,2,ERCC4 domain
PF09444,1,1,MRC1-like domain
PF06825,1,0,Heat shock factor binding protein 1
PF01922,1,1,SRP19 protein
PF00787,4,3,PX domain
PF09325,2,2,Vps5 C terminal like
PF01369,4,3,Sec7 domain
PF09324,4,3,Domain of unknown function (DUF1981)
PF12783,5,4,Guanine nucleotide exchange factor in Golgi transport N-terminal
PF16213,4,2,Dimerisation and cyclophilin-binding domain of Mon2
PF20252,2,2,BIG2 C-terminal domain
PF06775,1,1,Putative adipose-regulatory protein (Seipin)
PF03828,6,4,Cid1 family poly A polymerase
PF06298,1,1,Photosystem II protein Y (PsbY)
PF12243,1,1,CTD kinase subunit gamma CTK3
PF08695,1,1,Cytochrome oxidase complex assembly protein 1
PF01189,6,5,16S rRNA methyltransferase RsmB/F
PF02878,4,4,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I"
PF02879,4,4,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II"
PF02880,5,5,"Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III"
PF18972,1,1,Cns1/TTC4 Wheel domain
PF02882,1,1,"Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain"
PF16199,1,1,Radical_SAM C-terminal domain
PF04515,5,3,Plasma-membrane choline transporter
PF02966,1,1,Mitosis protein DIM1
PF03106,2,1,WRKY DNA -binding domain
PF02410,2,1,Ribosomal silencing factor during starvation
PF14769,2,1,Flagellar C1a complex subunit C1a-32
PF07569,1,1,TUP1-like enhancer of split
PF00213,2,2,ATP synthase delta (OSCP) subunit
PF18759,3,0,Plavaka transposase
PF01331,1,0,"mRNA capping enzyme, catalytic domain"
PF03919,1,0,"mRNA capping enzyme, C-terminal domain"
PF03033,2,0,Glycosyltransferase family 28 N-terminal domain
PF08660,1,1,Oligosaccharide biosynthesis protein Alg14 like
PF02517,7,3,Type II CAAX prenyl endopeptidase Rce1-like
PF11987,3,3,Translation-initiation factor 2
PF00749,3,2,"tRNA synthetases class I (E and Q), catalytic domain"
PF19269,1,1,Anticodon binding domain
PF01875,1,1,Memo-like protein
PF00006,5,5,"ATP synthase alpha/beta family, nucleotide-binding domain"
PF02874,3,4,"ATP synthase alpha/beta family, beta-barrel domain"
PF08318,2,1,COG4 transport protein
PF04339,1,1,Peptidogalycan biosysnthesis/recognition
PF13480,1,1,Acetyltransferase (GNAT) domain
PF01268,1,1,Formate--tetrahydrofolate ligase
PF09262,1,1,"Peroxisome biogenesis factor 1, N-terminal"
PF08640,1,1,U3 small nucleolar RNA-associated protein 6
PF08752,1,1,Coatomer gamma subunit appendage platform subdomain
PF16381,1,1,Coatomer subunit gamma-1 C-terminal appendage platform
PF02628,1,1,Cytochrome oxidase assembly protein
PF02630,1,1,SCO1/SenC
PF09830,2,1,ATP adenylyltransferase C-terminal domain
PF19327,3,1,Ap4A phosphorylase N-terminal domain
PF06858,2,2,Nucleolar GTP-binding protein 1 (NOG1)
PF08155,1,1,NOGCT (NUC087) domain
PF17835,2,2,NOG1 N-terminal helical domain
PF00101,1,1,"Ribulose bisphosphate carboxylase, small chain"
PF11371,1,1,Protein of unknown function (DUF3172)
PF05064,1,1,Nsp1-like C-terminal region
PF16058,1,0,Mucin-like
PF01655,1,1,Ribosomal protein L32
PF08324,1,1,PUL domain
PF09070,1,1,PFU (PLAA family ubiquitin binding)
PF00756,1,1,Putative esterase
PF10153,2,1,rRNA-processing protein Efg1
PF00780,3,2,CNH domain
PF10367,2,2,Vacuolar sorting protein 39 domain 2
PF04670,5,4,Gtr1/RagA G protein conserved region
PF13661,5,3,2OG-Fe(II) oxygenase superfamily
PF01872,1,1,RibD C-terminal domain
PF08719,2,2,NADAR domain
PF01650,4,1,Peptidase C13 family
PF05700,2,1,Breast carcinoma amplified sequence 2 (BCAS2)
PF02213,3,3,GYF domain
PF01302,2,2,CAP-Gly domain
PF04438,3,0,HIT zinc finger
PF13177,3,3,"DNA polymerase III, delta subunit"
PF04990,2,1,"RNA polymerase Rpb1, domain 7"
PF04992,2,1,"RNA polymerase Rpb1, domain 6"
PF05001,2,0,RNA polymerase Rpb1 C-terminal repeat
PF03489,2,3,"Saposin-like type B, region 2"
PF05184,2,3,"Saposin-like type B, region 1"
PF00412,3,2,LIM domain
PF12315,3,2,Protein DA1
PF13815,2,1,Iguana/Dzip1-like DAZ-interacting protein N-terminal
PF12998,1,0,Inhibitor of growth proteins N-terminal histone-binding
PF11722,1,0,CCCH zinc finger in TRM13 protein
PF04212,1,1,MIT (microtubule interacting and transport) domain
PF09336,3,3,Vps4 C terminal oligomerisation domain
PF03226,6,2,"Yippee zinc-binding/DNA-binding /Mis18, centromere assembly"
PF01987,1,1,Mitochondrial biogenesis AIM24
PF09180,2,1,"Prolyl-tRNA synthetase, C-terminal"
PF13671,14,5,AAA domain
PF08573,2,1,DNA endonuclease activator SAE2/CtIP C-terminus
PF04194,2,1,"Programmed cell death protein 2, C-terminal putative domain"
PF09398,2,2,FOP N terminal dimerisation domain
PF16045,1,1,LisH
PF01135,5,4,Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT)
PF00092,6,2,von Willebrand factor type A domain
PF13768,2,1,von Willebrand factor type A domain
PF04777,2,1,Erv1 / Alr family
PF01805,10,6,Surp module
PF12230,1,1,Pre-mRNA splicing factor PRP21 like protein
PF05071,2,1,NADH ubiquinone oxidoreductase subunit NDUFA12
PF15502,1,1,M-phase-specific PLK1-interacting protein
PF00456,1,1,"Transketolase, thiamine diphosphate binding domain"
PF01222,5,2,Ergosterol biosynthesis ERG4/ERG24 family
PF06437,1,1,IMP-specific 5'-nucleotidase
PF00408,2,2,"Phosphoglucomutase/phosphomannomutase, C-terminal domain"
PF18087,1,1,Rubisco Assembly chaperone C-terminal domain
PF18578,1,1,Rubisco accumulation factor 1 alpha helical domain
PF18579,1,1,Rubisco accumulation factor 1 helix turn helix domain
PF07093,2,1,SGT1 protein
PF16531,2,2,Centriolar protein SAS N-terminal
PF12580,1,1,Tripeptidyl peptidase II
PF16880,1,1,N-terminal EH-domain containing protein
PF18150,1,1,Domain of unknown function (DUF5600)
PF01485,10,6,"IBR domain, a half RING-finger domain"
PF19422,4,2,Ariadne domain
PF08711,7,5,TFIIS helical bundle-like domain
PF00475,1,1,Imidazoleglycerol-phosphate dehydratase
PF00988,1,1,"Carbamoyl-phosphate synthase small chain, CPSase domain"
PF13304,1,0,"AAA domain, putative AbiEii toxin, Type IV TA system"
PF01246,2,2,Ribosomal protein L24e
PF04248,1,1,Domain of unknown function (DUF427)
PF00773,5,3,RNB domain
PF17216,3,1,Rrp44-like cold shock domain
PF17849,4,2,Dis3-like cold-shock domain 2 (CSD2)
PF07496,8,3,CW-type Zinc Finger
PF18755,3,2,Restriction Enzyme Adenine Methylase Associated
PF10419,1,0,TFIIIC subunit triple barrel domain
PF08806,2,0,Sep15/SelM redox domain
PF00202,9,5,Aminotransferase class-III
PF04266,1,1,ASCH domain
PF08547,4,4,Complex I intermediate-associated protein 30 (CIA30)
PF03171,11,8,2OG-Fe(II) oxygenase superfamily
PF02153,2,2,"Prephenate dehydrogenase, nucleotide-binding domain"
PF08635,3,3,Putative oxidoreductase C terminal domain
PF09668,1,1,Aspartyl protease
PF13650,6,4,Aspartyl protease
PF13975,5,2,gag-polyprotein putative aspartyl protease
PF03661,1,1,Transmembrane protein 33/Nucleoporin POM33
PF00141,6,6,Peroxidase
PF02091,1,1,Glycyl-tRNA synthetase alpha subunit
PF02092,1,1,Glycyl-tRNA synthetase beta subunit
PF00183,3,3,Hsp90 protein
PF05419,1,1,GUN4-like
PF02194,1,1,PXA domain
PF08628,1,1,Sorting nexin C terminal
PF19302,3,1,Domain of unknown function (DUF5915)
PF06090,1,0,Inositol-pentakisphosphate 2-kinase
PF06596,1,1,Photosystem II reaction centre X protein (PsbX)
PF13893,9,8,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
PF04900,2,2,Fcf1
PF18477,1,1,PIN like domain
PF07890,2,1,Rrp15p
PF14846,1,1,Domain of unknown function (DUF4485)
PF02605,1,1,Photosystem I reaction centre subunit XI
PF14803,1,1,Nudix N-terminal
PF01154,2,1,Hydroxymethylglutaryl-coenzyme A synthase N terminal
PF00916,4,3,Sulfate permease family
PF01740,3,2,STAS domain
PF20258,1,0,Aminomethyltransferase beta-barrel domain
PF20259,1,1,tRNA methyl transferase PRC-barrel domain
PF08381,2,2,Transcription factor regulating root and shoot growth via Pin3
PF02815,1,1,MIR domain
PF14443,2,2,DBC1
PF14444,1,1,S1-like
PF19256,2,2,LAIKA domain
PF19257,2,2,BURAN domain
PF08238,4,3,Sel1 repeat
PF02724,1,1,CDC45-like protein
PF00162,2,2,Phosphoglycerate kinase
PF02696,2,2,Protein adenylyltransferase SelO
PF03403,1,0,"Platelet-activating factor acetylhydrolase, isoform II"
PF02656,4,1,Domain of unknown function (DUF202)
PF09359,2,1,VTC domain
PF14541,1,1,Xylanase inhibitor C-terminal
PF14543,2,1,Xylanase inhibitor N-terminal
PF12631,4,2,MnmE helical domain
PF10396,2,1,GTP-binding protein TrmE N-terminus
PF08627,2,0,"CRT-like, chloroquine-resistance transporter-like"
PF00317,2,1,"Ribonucleotide reductase, all-alpha domain"
PF02867,2,1,"Ribonucleotide reductase, barrel domain"
PF03477,2,1,ATP cone domain
PF13806,4,3,Rieske-like [2Fe-2S] domain
PF09423,6,2,PhoD-like phosphatase
PF16655,4,1,"PhoD-like phosphatase, N-terminal domain"
PF01435,4,4,Peptidase family M48
PF00177,1,1,Ribosomal protein S7p/S5e
PF10584,7,7,Proteasome subunit A N-terminal signature
